,District,Neighborhood,Neighborhood Lat,Neighborhood Lon,Venue,Venue Lat,Venue Lon,Venue Category
44,Ciutat Vella,La Barceloneta,41.37944,2.18917,Museu d'Història de Catalunya,41.38068442806635,2.186023155026679,History Museum
45,Ciutat Vella,La Barceloneta,41.37944,2.18917,Surf House Barcelona,41.37739616411243,2.1909063898307193,Bar
46,Ciutat Vella,La Barceloneta,41.37944,2.18917,Restaurante Barceloneta,41.376212688952116,2.1874819302125545,Seafood Restaurant
47,Ciutat Vella,La Barceloneta,41.37944,2.18917,Magatzem del Port,41.38049300874053,2.186319162931189,Spanish Restaurant
48,Ciutat Vella,La Barceloneta,41.37944,2.18917,Boardriders,41.3755779536347,2.1901440290936827,Board Shop
49,Ciutat Vella,La Barceloneta,41.37944,2.18917,FOC Latin Food & Drinks,41.37605106824816,2.1888878690820173,Latin American Restaurant
50,Ciutat Vella,La Barceloneta,41.37944,2.18917,Circo de los Horrores,41.376723693578334,2.1879858967974903,Circus
51,Ciutat Vella,La Barceloneta,41.37944,2.18917,Can Maño,41.381164867623546,2.188436615303488,Mediterranean Restaurant
52,Ciutat Vella,La Barceloneta,41.37944,2.18917,La Cala,41.376086,2.187727,Café
53,Ciutat Vella,La Barceloneta,41.37944,2.18917,L'Ostia,41.379794138302714,2.188012783720029,Mediterranean Restaurant
54,Ciutat Vella,La Barceloneta,41.37944,2.18917,Circo Raluy,41.379887188839916,2.1826704527807608,Circus
55,Ciutat Vella,La Barceloneta,41.37944,2.18917,Barraca,41.3790722864595,2.1919951022155177,Paella Restaurant
56,Ciutat Vella,La Barceloneta,41.37944,2.18917,Perikete,41.3813258,2.1834208,Gastropub
57,Ciutat Vella,La Barceloneta,41.37944,2.18917,Vioko,41.376931030575115,2.1886166704674737,Ice Cream Shop
58,Ciutat Vella,La Barceloneta,41.37944,2.18917,Can Paixano,41.381756371756275,2.183422905200132,Wine Bar
59,Ciutat Vella,La Barceloneta,41.37944,2.18917,Caupolican,41.38097763250426,2.1896159081453423,Bar
60,Ciutat Vella,La Barceloneta,41.37944,2.18917,L'Arròs,41.380281,2.187393,Paella Restaurant
61,Ciutat Vella,La Barceloneta,41.37944,2.18917,Locals Barceloneta,41.37584247573998,2.1895408630371094,Board Shop
62,Ciutat Vella,La Barceloneta,41.37944,2.18917,Carabela,41.381071180195,2.1827479207170932,Mexican Restaurant
63,Ciutat Vella,La Barceloneta,41.37944,2.18917,Restaurante Salamanca,41.37848271925959,2.1914081732999624,Paella Restaurant
64,Ciutat Vella,La Barceloneta,41.37944,2.18917,Brunch & Cake by the Sea,41.38099681119947,2.1869506187156627,Breakfast Spot
65,Ciutat Vella,La Barceloneta,41.37944,2.18917,La Estrella,41.38376592515156,2.1849864838135917,Mediterranean Restaurant
66,Ciutat Vella,La Barceloneta,41.37944,2.18917,Martín Villoro,41.37558023217132,2.189169851814032,Paella Restaurant
67,Ciutat Vella,La Barceloneta,41.37944,2.18917,Paradiso,41.383723999014634,2.18369158005328,Cocktail Bar
68,Ciutat Vella,La Barceloneta,41.37944,2.18917,Bar Àngel,41.383833963111115,2.184909913791343,Tapas Restaurant
69,Ciutat Vella,La Barceloneta,41.37944,2.18917,Gocce di Latte,41.3832033,2.1827056,Ice Cream Shop
70,Ciutat Vella,La Barceloneta,41.37944,2.18917,Mar Mediterrània (Mar Mediterráneo),41.374486945387936,2.1897647240031515,Beach
71,Ciutat Vella,La Barceloneta,41.37944,2.18917,Bodega Vidrios y Cristales,41.38171652466105,2.1826986353881375,Bar
72,Ciutat Vella,La Barceloneta,41.37944,2.18917,Bacoa Kiosko,41.383404,2.1836731,Burger Joint
73,Ciutat Vella,La Barceloneta,41.37944,2.18917,Casa Llotja de Mar,41.38250153581559,2.182565754341119,Event Space
74,Ciutat Vella,La Barceloneta,41.37944,2.18917,El Pintxo,41.38075,2.188632,Spanish Restaurant
75,Ciutat Vella,La Barceloneta,41.37944,2.18917,Piñol,41.380570591150686,2.1917041755900755,Bar
76,Ciutat Vella,La Barceloneta,41.37944,2.18917,El Tio Pio,41.381613099192094,2.1868216007937367,Restaurant
77,Ciutat Vella,La Barceloneta,41.37944,2.18917,Passadís del Pep,41.382879368053565,2.182727523833626,Seafood Restaurant
78,Ciutat Vella,La Barceloneta,41.37944,2.18917,Vila Viniteca,41.38257420018804,2.1815779409406004,Wine Shop
79,Ciutat Vella,La Barceloneta,41.37944,2.18917,Tlaxcal,41.38492260080305,2.1842340266398717,Mexican Restaurant
80,Ciutat Vella,La Barceloneta,41.37944,2.18917,Rangoli,41.37514878087264,2.1887967125507495,Indian Restaurant
81,Ciutat Vella,La Barceloneta,41.37944,2.18917,Plaça del Mar,41.374791708515595,2.1895727036334898,Plaza
82,Ciutat Vella,La Barceloneta,41.37944,2.18917,Bar Belmonte,41.380985276505506,2.181001763224461,Tapas Restaurant
83,Ciutat Vella,La Barceloneta,41.37944,2.18917,Collage Art & Cocktails Social Club,41.38262245305919,2.1814342938657414,Cocktail Bar
84,Ciutat Vella,La Barceloneta,41.37944,2.18917,Club De Futbol Barceloneta,41.38371596335473,2.192034768093693,Soccer Field
85,Ciutat Vella,La Barceloneta,41.37944,2.18917,Hotel Duquesa de Cardona,41.37980132053478,2.180637044744694,Hotel
86,Ciutat Vella,La Barceloneta,41.37944,2.18917,Koku Kitchen Buns,41.38486939291011,2.1842972939911056,Asian Restaurant
87,Ciutat Vella,La Barceloneta,41.37944,2.18917,Buenas Migas,41.3752332781653,2.189549755882108,Italian Restaurant
88,Ciutat Vella,La Barceloneta,41.37944,2.18917,Etnia,41.383440244007566,2.182093516594942,Optical Shop
89,Ciutat Vella,La Barceloneta,41.37944,2.18917,Clubhaus,41.384495,2.184619,Bar
90,Ciutat Vella,La Barceloneta,41.37944,2.18917,Bodega La Tinaja,41.38432655722714,2.1831507842888715,Tapas Restaurant
91,Ciutat Vella,La Barceloneta,41.37944,2.18917,La Vinya del Senyor,41.38339126064091,2.181867255004128,Wine Bar
92,Ciutat Vella,La Barceloneta,41.37944,2.18917,Sports Bar,41.38127097237509,2.1806013263552924,Italian Restaurant
93,Ciutat Vella,La Barceloneta,41.37944,2.18917,Bastaix,41.383740223493604,2.182379057001545,Spanish Restaurant
94,Ciutat Vella,La Barceloneta,41.37944,2.18917,Club Natació Atlètic-Barceloneta,41.37312929636256,2.1886610984802246,Gym / Fitness Center
95,Ciutat Vella,La Barceloneta,41.37944,2.18917,Xup Xup,41.379568635603306,2.1928169464532004,Mediterranean Restaurant
96,Ciutat Vella,La Barceloneta,41.37944,2.18917,Soho House Barcelona,41.37846572033908,2.179364684498692,Hotel
97,Ciutat Vella,La Barceloneta,41.37944,2.18917,GILDA by Belgious,41.38073065016171,2.180188811633893,Mediterranean Restaurant
98,Ciutat Vella,La Barceloneta,41.37944,2.18917,La Plata,41.380407124532816,2.1806252002716064,Spanish Restaurant
99,Ciutat Vella,La Barceloneta,41.37944,2.18917,Sensi,41.38038824752991,2.179988551993155,Tapas Restaurant
100,Ciutat Vella,El Gotic,41.382778,2.176944,Barrio Gótico,41.38366049614543,2.1772899008766218,Neighborhood
101,Ciutat Vella,El Gotic,41.382778,2.176944,Gelaaati! di Marco,41.383185515636995,2.1773687184560084,Ice Cream Shop
102,Ciutat Vella,El Gotic,41.382778,2.176944,Be Chocolat,41.38259725181887,2.1747248202957707,Dessert Shop
103,Ciutat Vella,El Gotic,41.382778,2.176944,Pont del Carrer del Bisbe,41.38331035757379,2.1764130153011076,Bridge
104,Ciutat Vella,El Gotic,41.382778,2.176944,La Alcoba Azul,41.38283347569902,2.1755058371986005,Spanish Restaurant
105,Ciutat Vella,El Gotic,41.382778,2.176944,El Cuiner de Damasc,41.38148993786303,2.177677305294852,Falafel Restaurant
106,Ciutat Vella,El Gotic,41.382778,2.176944,Plaça de Sant Jaume,41.3826903148917,2.177010192961751,Plaza
107,Ciutat Vella,El Gotic,41.382778,2.176944,Salterio,41.3825999710512,2.17607707568857,Tea Room
108,Ciutat Vella,El Gotic,41.382778,2.176944,Mannà Gelats,41.38307898657056,2.174487680308488,Ice Cream Shop
109,Ciutat Vella,El Gotic,41.382778,2.176944,Frankfurt Sant Jaume,41.382275,2.176912,Hot Dog Joint
110,Ciutat Vella,El Gotic,41.382778,2.176944,Xurrería Manuel San Román,41.382241106616874,2.1750853482750383,Snack Place
111,Ciutat Vella,El Gotic,41.382778,2.176944,Sensi Bistro,41.3815103,2.1789192,Tapas Restaurant
112,Ciutat Vella,El Gotic,41.382778,2.176944,Happy Pills,41.38445513323865,2.174877735244996,Candy Store
113,Ciutat Vella,El Gotic,41.382778,2.176944,Plaça de l'Àngel,41.38398598320659,2.1785137385720863,Plaza
114,Ciutat Vella,El Gotic,41.382778,2.176944,The Wittmore,41.38096941463271,2.1796236050111135,Hotel
115,Ciutat Vella,El Gotic,41.382778,2.176944,Macchina Pasta Bar,41.3801509166099,2.17684675323,Italian Restaurant
116,Ciutat Vella,El Gotic,41.382778,2.176944,Shunka,41.38504123726966,2.1751520361631678,Japanese Restaurant
117,Ciutat Vella,El Gotic,41.382778,2.176944,Maoz Vegetarian,41.380808968966356,2.1747846330241236,Falafel Restaurant
118,Ciutat Vella,El Gotic,41.382778,2.176944,Kӕlderkold,41.38172259074735,2.173348181966682,Beer Bar
119,Ciutat Vella,El Gotic,41.382778,2.176944,Plaça Reial (Plaza Real),41.38010926480547,2.1752822399139404,Plaza
120,Ciutat Vella,El Gotic,41.382778,2.176944,Cafés El Magnífico,41.38358884695416,2.1809327872954074,Coffee Shop
121,Ciutat Vella,El Gotic,41.382778,2.176944,Lomography Gallery Store Barcelona,41.38407740465793,2.1807861689998216,Camera Store
122,Ciutat Vella,El Gotic,41.382778,2.176944,Bodega Biarritz,41.379839648869485,2.176050292648821,Tapas Restaurant
123,Ciutat Vella,El Gotic,41.382778,2.176944,Liceu Opera Barcelona (Gran Teatro del Liceo),41.380713238498885,2.1736061650627523,Opera House
124,Ciutat Vella,El Gotic,41.382778,2.176944,Milk Bar & Bistro,41.381425609153894,2.180209453520864,Bar
125,Ciutat Vella,El Gotic,41.382778,2.176944,La Veintinueve,41.380616420878766,2.1783409358462174,Women's Store
126,Ciutat Vella,El Gotic,41.382778,2.176944,Koy Shunka,41.385932,2.175382,Japanese Restaurant
127,Ciutat Vella,El Gotic,41.382778,2.176944,Hola Cristo,41.385617809126046,2.1796751616878036,Clothing Store
128,Ciutat Vella,El Gotic,41.382778,2.176944,Dionisos Quick Greek,41.38053754518315,2.1772970354280017,Greek Restaurant
129,Ciutat Vella,El Gotic,41.382778,2.176944,L'antico Borgo Napoletano,41.380216065405705,2.1763422746703776,Pizza Place
130,Ciutat Vella,El Gotic,41.382778,2.176944,Viana,41.37984596721789,2.1760936566327205,Mediterranean Restaurant
131,Ciutat Vella,El Gotic,41.382778,2.176944,Bacoa,41.38062487169596,2.174682158691744,Burger Joint
132,Ciutat Vella,El Gotic,41.382778,2.176944,Pizza Pazza,41.38096978615803,2.180330085500574,Pizza Place
133,Ciutat Vella,El Gotic,41.382778,2.176944,L’orwell,41.380369,2.17708,Coffee Shop
134,Ciutat Vella,El Gotic,41.382778,2.176944,Plaça de Sant Josep Oriol,41.38241870173545,2.1741096072265975,Plaza
135,Ciutat Vella,El Gotic,41.382778,2.176944,Mercat de Sant Josep - La Boqueria,41.38195895111797,2.172010882862328,Market
136,Ciutat Vella,El Gotic,41.382778,2.176944,Takumi Sapporo Ramen Kitchen,41.384969,2.177186,Ramen Restaurant
137,Ciutat Vella,El Gotic,41.382778,2.176944,El Quim de la Boqueria,41.38190813537722,2.1719485229278814,Tapas Restaurant
138,Ciutat Vella,El Gotic,41.382778,2.176944,Carabassa,41.379934383752875,2.179054162553331,Italian Restaurant
139,Ciutat Vella,El Gotic,41.382778,2.176944,Koku Kitchen Ramen,41.379898,2.1792042,Ramen Restaurant
140,Ciutat Vella,El Gotic,41.382778,2.176944,Mercat de Santa Caterina,41.386283537473496,2.1781790256500244,Market
141,Ciutat Vella,El Gotic,41.382778,2.176944,Churrería Laietana,41.38633297476153,2.175559014250895,Café
142,Ciutat Vella,El Gotic,41.382778,2.176944,El Xampanyet,41.3845584973843,2.181764044288262,Tapas Restaurant
143,Ciutat Vella,El Gotic,41.382778,2.176944,Nou Pipa Club,41.38015657844433,2.1750225214092063,Speakeasy
144,Ciutat Vella,El Gotic,41.382778,2.176944,Farmacia de la Estrella,41.3806640478255,2.1745940364006144,Pharmacy
145,Ciutat Vella,El Gotic,41.382778,2.176944,Tucco,41.37939270093422,2.178638979824464,Italian Restaurant
146,Ciutat Vella,El Gotic,41.382778,2.176944,Direkte Boqueria,41.381433,2.172153,Spanish Restaurant
147,Ciutat Vella,El Gotic,41.382778,2.176944,ArtiSa Barcelona,41.379747,2.174871,Coffee Shop
148,Ciutat Vella,El Gotic,41.382778,2.176944,Louro,41.379030518159865,2.1749281883239746,Spanish Restaurant
149,Ciutat Vella,El Gotic,41.382778,2.176944,Sagardi BCN Gòtic,41.383580274682174,2.180698197003258,Tapas Restaurant
150,Ciutat Vella,El Gotic,41.382778,2.176944,Topping Circus,41.38060709068606,2.1781777598588525,Ice Cream Shop
151,Ciutat Vella,El Gotic,41.382778,2.176944,Demasié,41.385667968182226,2.180879852271949,Dessert Shop
152,Ciutat Vella,El Gotic,41.382778,2.176944,Chök,41.38283940566987,2.1713176727321084,Donut Shop
153,Ciutat Vella,El Gotic,41.382778,2.176944,Soho House Rooftop Pool,41.37850567,2.17929694,Hotel Pool
154,Ciutat Vella,El Gotic,41.382778,2.176944,Bar Mariatchi,41.37967414197191,2.1780405073363913,Bar
155,Ciutat Vella,El Gotic,41.382778,2.176944,Barcelona Cooking (Cooking classes),41.38036226316934,2.1740409661678726,Spanish Restaurant
156,Ciutat Vella,El Gotic,41.382778,2.176944,Bar Sincopa,41.38039400787094,2.1790041691333184,Bar
157,Ciutat Vella,El Gotic,41.382778,2.176944,Palau Güell (Palacio Güell),41.37891970695072,2.1741027190820796,Monument / Landmark
158,Ciutat Vella,El Gotic,41.382778,2.176944,Bubó Degustacions,41.38314369744762,2.18196387838452,Dessert Shop
159,Ciutat Vella,El Gotic,41.382778,2.176944,Ramblas 2,41.38039181276278,2.1740582359721197,Boarding House
160,Ciutat Vella,El Gotic,41.382778,2.176944,Asian Restaurant,41.380309715021966,2.172340440527317,Asian Restaurant
161,Ciutat Vella,El Gotic,41.382778,2.176944,La Pachuca,41.379954,2.179073,Mexican Restaurant
162,Ciutat Vella,El Gotic,41.382778,2.176944,Bo de B!,41.38133168585265,2.1811666944685766,Sandwich Place
163,Ciutat Vella,El Gotic,41.382778,2.176944,Bar Clemen-s,41.38139729706408,2.1715807914733887,Mediterranean Restaurant
164,Ciutat Vella,El Gotic,41.382778,2.176944,Cañete,41.37915352642744,2.1730924282122515,Tapas Restaurant
165,Ciutat Vella,El Gotic,41.382778,2.176944,Casa Gispert,41.38410517573316,2.1819357568814257,Gourmet Shop
166,Ciutat Vella,El Gotic,41.382778,2.176944,Le Cucine Mandarosso,41.386935406421124,2.176238685160663,Italian Restaurant
167,Ciutat Vella,El Gotic,41.382778,2.176944,Ateneu Barcelonès,41.38431379076869,2.171692461879392,Cultural Center
168,Ciutat Vella,El Gotic,41.382778,2.176944,La Rumbeta,41.3788357505453,2.1768851334124677,Wine Bar
169,Ciutat Vella,El Gotic,41.382778,2.176944,Palau de la Música Catalana (Palacio de la Música Catalana),41.3875955955081,2.17529833316803,Concert Hall
170,Ciutat Vella,El Gotic,41.382778,2.176944,Made in Sicily,41.37987551482518,2.1765861812092506,Italian Restaurant
171,Ciutat Vella,El Gotic,41.382778,2.176944,Federal Café Gòtic,41.37813386968039,2.1776934705740456,Coffee Shop
172,Ciutat Vella,El Gotic,41.382778,2.176944,Coffee Casa,41.386714,2.180245,Café
173,Ciutat Vella,El Gotic,41.382778,2.176944,Oggi Gelato | Officina Gelato Gusto Italiano,41.38660423221586,2.173326507695335,Ice Cream Shop
174,Ciutat Vella,El Gotic,41.382778,2.176944,Pastisseria Hofmann,41.38506312725173,2.182797214935111,Dessert Shop
175,Ciutat Vella,El Gotic,41.382778,2.176944,Museu Picasso,41.38498817538641,2.1810862205086083,Art Museum
176,Ciutat Vella,El Gotic,41.382778,2.176944,The Serras Hotel,41.38018608270021,2.1808608969581744,Hotel
177,Ciutat Vella,El Gotic,41.382778,2.176944,Impossible,41.38683304249229,2.1811852507121974,Camera Store
178,Ciutat Vella,El Gotic,41.382778,2.176944,Hotel 1898,41.38340433331596,2.1706803944457267,Hotel
179,Ciutat Vella,El Gotic,41.382778,2.176944,Hostal OperaRamblas,41.38030151923886,2.172812588001186,Hostel
180,Ciutat Vella,El Gotic,41.382778,2.176944,Chivuo's,41.38296052918113,2.1699479876928884,Sandwich Place
181,Ciutat Vella,El Gotic,41.382778,2.176944,Cecconi's,41.378315450395725,2.1795368061941542,Italian Restaurant
182,Ciutat Vella,El Gotic,41.382778,2.176944,La Central Hamburguesería,41.386694061545136,2.1749496459960938,Burger Joint
183,Ciutat Vella,El Gotic,41.382778,2.176944,Amorino,41.38490997097062,2.1704368906028573,Ice Cream Shop
184,Ciutat Vella,El Gotic,41.382778,2.176944,Rabipelao,41.38029171288284,2.1806110253992386,Cocktail Bar
185,Ciutat Vella,El Raval,41.38,2.16861,A Tu Bola,41.38009591524072,2.169054173364087,Tapas Restaurant
186,Ciutat Vella,El Raval,41.38,2.16861,La Robadora,41.37949971573528,2.170463226095951,Gastropub
187,Ciutat Vella,El Raval,41.38,2.16861,Robadors 23,41.3795810931896,2.170602825214247,Jazz Club
188,Ciutat Vella,El Raval,41.38,2.16861,Arume,41.378953172641666,2.166007761028043,Spanish Restaurant
189,Ciutat Vella,El Raval,41.38,2.16861,Filmoteca de Catalunya,41.37854031238799,2.171100584858405,Movie Theater
190,Ciutat Vella,El Raval,41.38,2.16861,Chulapio,41.37926419687337,2.165904503389862,Cocktail Bar
191,Ciutat Vella,El Raval,41.38,2.16861,Las Fernández,41.37818332916318,2.166353561390829,Mediterranean Restaurant
192,Ciutat Vella,El Raval,41.38,2.16861,Grey Street,41.38084804250558,2.1666093867456264,Gift Shop
193,Ciutat Vella,El Raval,41.38,2.16861,El Jardí Cafè,41.38088863294609,2.170153756595532,Café
194,Ciutat Vella,El Raval,41.38,2.16861,Cera 23,41.37894663219354,2.1661802076793903,Spanish Restaurant
195,Ciutat Vella,El Raval,41.38,2.16861,Carlota Akaneya,41.38234896543694,2.168812344861435,Japanese Restaurant
196,Ciutat Vella,El Raval,41.38,2.16861,La Monroe,41.37879505890736,2.1706922512171314,Spanish Restaurant
197,Ciutat Vella,El Raval,41.38,2.16861,Bodega Armando,41.37997449220553,2.164890584751975,Wine Bar
198,Ciutat Vella,El Raval,41.38,2.16861,Caravelle,41.38233748488436,2.1688183373821532,Café
199,Ciutat Vella,El Raval,41.38,2.16861,Bar Mendizábal,41.38061875722682,2.1709006504196204,Bar
200,Ciutat Vella,El Raval,41.38,2.16861,Hotel Barceló Raval,41.37902535933394,2.1697293427413,Hotel
201,Ciutat Vella,El Raval,41.38,2.16861,Bianco Noir - Bistrot,41.3804695348783,2.167139686229065,Bistro
202,Ciutat Vella,El Raval,41.38,2.16861,NØMAD Every Day,41.38205493742651,2.166349410834469,Coffee Shop
203,Ciutat Vella,El Raval,41.38,2.16861,Guixot,41.37850876727247,2.16780624558513,Spanish Restaurant
204,Ciutat Vella,El Raval,41.38,2.16861,Pesca Salada,41.37842999610753,2.1655226242257246,Cocktail Bar
205,Ciutat Vella,El Raval,41.38,2.16861,Teatre Romea,41.38062057180769,2.1710479530913336,Theater
206,Ciutat Vella,El Raval,41.38,2.16861,Ófis Restaurant,41.37863553875484,2.1706684402250858,Mediterranean Restaurant
207,Ciutat Vella,El Raval,41.38,2.16861,Discos Paradiso,41.38222323239239,2.165922262785513,Record Shop
208,Ciutat Vella,El Raval,41.38,2.16861,La Central del Raval,41.38358596080116,2.1689486932103805,Bookstore
209,Ciutat Vella,El Raval,41.38,2.16861,Frankie Gallo Cha Cha Cha,41.37844954246539,2.172683416699777,Pizza Place
210,Ciutat Vella,El Raval,41.38,2.16861,El Pachuco,41.37636913195219,2.1691479305243284,Mexican Restaurant
211,Ciutat Vella,El Raval,41.38,2.16861,Pizza Circus,41.37790546295147,2.1729111671447754,Pizza Place
212,Ciutat Vella,El Raval,41.38,2.16861,Barcentral,41.38369735,2.16885058,Café
213,Ciutat Vella,El Raval,41.38,2.16861,Laie CCCB,41.38371158241776,2.166530396321491,Bookstore
